ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
2019_JEM_Beura---CD4_FRT_TRM_up,2019_JEM_Beura---CD4_FRT_TRM_up,499,-0.2156444556811885,-2.200093052017833,1.0945709281961471e-4,7.458891337514833e-4,3.4498859455810236e-4,4806,"tags=35%, list=24%, signal=27%",Anapc13/Lpp/Itgav/Plet1os/Plet1/Pls3/Tshr/Akr1e1/Gns/Etfb/Ccdc80/Rhobtb3/Map2/Pla1a/Spaca6/Has1/Bnip3/Etfb/Slc43a3/Tex15/Tmtc1/Ybx3/Spc25/Anxa1/C1qtnf2/Gxylt2/Cfap126/Pcp4l1/Ctsz/Tnc/Olfml1/Me1/Rhobtb3/Hspb8/Samd4/Acod1/Zbtb10/Pkhd1l1/Plscr4/Plod2/Prkar2b/Rab31/Twsg1/Plek/Sv2b/Rnf141/Triqk/Cfap126/Wls/Cacna2d1/Upk1b/Gng2/Cfap126/Pcp4l1/Anxa1/Clmp/Fbxo30/Fkbp9/Tpd52l1/Rnf217/Alcam/Kcnma1/Zfp704/Ube2ql1/Tshr/Itgav/Mrc1/Fmnl2/Cyfip1/Ifi205/Ptgs2/Gm13889/Etfb/Plxdc2/Iigp1/Ifi204/Cp/Pkhd1l1/Lcmt1/Galnt3/Nucb2/Flt4/Gfpt2/Spaca6/Has1/Igsf10/Spin4/Gxylt2/Pkhd1l1/Vcan/Cped1/Pdia6/Bmpr1b/Fer/Mbnl2/Sh3bgrl2/Fgfr1/Iigp1/Slit3/Mbnl2/Ctgf/Pkhd1l1/Ctsb/Dlx6/Dlx5/Jam2/Ccdc80/Twsg1/Slc28a3/Pcdh7/Lpp/Ybx3/Ccdc88a/Ppp2r3a/Ikbip/Rbpms/Ica1/Upk1a/Prune2/Dmd/Aebp1/Ankrd33b/Podxl/Robo1/Tnc/Alas2/Spata7/Itgb8/Rad54b/C1qtnf6/Reln/Tsen34/Col14a1/Cyp7b1/Cryab/Cd34/Fndc3b/Rnf144b/Tshr/Alcam/Sestd1/Aard/Adgrl2/Me1/Prss35/Galnt3/P3h2/Nbea/1190002N15Rik/Mmp19/Cped1/Serpina9/Etfb/Mef2c/Ildr2/Bmpr2/Acvr2a/Cc2d2a/Cacna2d1/Npnt/Anxa5/Jam2/Alas2/Phldb2/Fmnl2/Mir99ahg/Osbpl1a/Dio2/Jam2/Cyfip1/Cpe/Fndc7/Crtap/Ldlrad3/Pkhd1l1/Cebpd/Jam2/Kifap3/Sele/Dact3/Gng2/Olr1/Pkhd1l1/Arhgap6/Cfi/Pla2g12a/Plscr4/Ssc5d/Pam/Bmpr1b/Prkci/Cpe/Plek/Mef2c/Snx24/Alcam/Ybx3/Hacd4/Pcdh7/Kcnk2/Cebpd/Fgd5/Alcam/Jam2/Fkbp9/Dio2/Plek/Mbnl2/Rap2a/Mpp7/Cdo1/Tacstd2/Enkur/Bmpr1b/Cldn5/Gucy1a2/Tns1/Acvr1/Slc43a3/Ica1/C1qtnf2/Cd200/Tenm4/Spred2/Cfap206/Cd200/Tacstd2/Arhgap6/Ildr1/Pcdh7/Mfap5/Ttll7/Alcam/1500015O10Rik/Lama2/Sestd1/Plek/Retnlg/Olr1/Casp12/Cd200/Adgrl2/Wls/Ttll7/Arhgap29/Arhgap29/Sdc2/Cpq/Pcdh17/Dock4/Map2/Cacna2d1/Syne3/Tnc/Plxdc2/Pdzrn3/Peli2/Cdk14/Pam/Cd34/Filip1/Fabp5/Spin4/Dkk3/Ifi205/Tex15/Tspan6/Sytl4/Itgb8/Jam2/Lama2/B230118H07Rik/Tacstd2/Npnt/Gja1/Cep85l/Mansc1/Arhgap6/Cyfip1/Greb1/Cyfip1/Galnt3/Trip10/Lox/Hmgcs2/Cldn10/Serpine2/Arhgap6/Rasal2/Plxdc2/Jam2
2019_JEM_Beura---CD4_NLT_TRM_up,2019_JEM_Beura---CD4_NLT_TRM_up,261,-0.21348070085136184,-2.0210079610014917,1.1494252873563218e-4,7.458891337514833e-4,3.4498859455810236e-4,5695,"tags=41%, list=29%, signal=30%",Qpct/Tiparp/Rbpj/Ston2/Ston2/Mdfic/Tnfrsf1b/Maoa/Maob/Ptprk/Cd226/Smim3/Slc44a1/Casp3/Scin/Rbpj/Lgr4/Rgs2/Lilrb4a/Ugt1a7c/Slamf7/Nabp1/Lgr4/Eps8/Itga1/Ell2/Glrx/Enpep/Smim3/Plscr1/Gabarapl1/Tmem56/Fam213a/Il2ra/Rgs1/Palld/Arhgef5/Cxadr/Mdfic/Fam213a/Bhlhe40/Nkg7/Plscr1/Ell2/Glrx/Spry2/Spry2/Mdfic/Nkg7/Nostrin/Csrp2/Cd226/Sytl2/Palld/Tnfrsf1b/Itih5/Ell2/Glrx/Fam171a1/Ahr/Rgs1/Kctd12/Serpinb6b/Serpinb9/Serpinb6b/Serpinb9/Hk2/Havcr2/Gabarapl1/Thrb/Rgs1/Cmbl/Yap1/Rbpj/Gabarapl1/Tmem236/Agr2/Mgam/Mdfic/Litaf/Tnfrsf1b/Nedd4/Palld/Tnfrsf1b/Cd38/Rgs1/Lilrb4a/2010111I01Rik/Smim3/Zfp703/Rbpj/Havcr2/Fgl2/Trim36/Akr1c19/Car2/Cd226/Akr1c14/Plscr1/Cd226/Atp10b/Tnfrsf1b/Agr2/Bcl2a1d/Ppp3ca/Mdfic/Nabp1/Phlda1/Rgs1/Tigit/Tnfrsf1b/Prlr/Smim3/Gata4/Wnk2/Cd226/Adora2a/Spry2/Stau2/Serpinb6b/Serpinb9/Mkrn2os/Afdn/Zfp703/Areg/Tnfrsf1b/Pard3/Cd226/2310030G06Rik/Tnfsf10/Ston2/Plscr1/Plscr1/Cd226/Mdfic/Mdfic/Ugt1a7c/Tiparp/Nkg7/Mdfic/Arnt2/Abcg2/Cmbl/Mdfic/Prdm1/Fzd5/Myo6/Tnfsf10/Cyr61/Il12rb2/Tnfrsf1b/Fam213a/Gpr171/Icam1/Hk2/Agr2/Mdfic/Gabarapl1/Arhgef5/Plscr1/Palld/Tigit/Tmtc2/Rgs1/Vav3/Smim3/Cxadr/Casp3/Mdfic/Il12rb2/2010111I01Rik/Tnks1bp1/Spred1/Cd226/Ston2/Chst11/Hivep3/Plscr1/Mdfic/Ptprk/Dusp5/Rgs1/Xcl1/Palld/Kcnk5/Mdfic/Gabarapl1/Slc44a1/Mdfic/Rhoc/Serpinb6b/Serpinb9/Slc4a4/Il12rb2/Hivep3/Rgs1/Cd226/Tnfrsf1b/Myo5c/Rgs1/Mical2/Cmbl/Il12rb2/Mdfic/Slc4a4/Rgs1/Phlda1/Plac8/Reg4/Rgs1/Sytl2/Rhob
2019_NAT_IMMUNOL_Nakayama---LungTRreg,2019_NAT_IMMUNOL_Nakayama---LungTRreg,240,-0.20121940509361025,-1.9318905521389007,1.1494252873563218e-4,7.458891337514833e-4,3.4498859455810236e-4,5417,"tags=38%, list=27%, signal=29%",Smim3/Ikzf2/Galc/Gpr65/Cdk6/Rbpj/Nde1/Rgs2/Lilr4b/Lilrb4a/Adam17/Pdcd1/Cdk6/Hpgds/Itga1/N4bp1/Mthfs/Glrx/Smim3/Cass4/Il2ra/Il15ra/Rgs1/Mthfs/Cobll1/Mdfic/Ky/Itgav/Bhlhe40/Cass4/Zeb2/Glrx/Galc/Gpr65/Cd80/Spaca6/Mdfic/Sh3rf1/Anxa1/Cd226/Smpd1/Sytl2/Sh3rf1/Ctsz/Tnfrsf8/Tasp1/Itih5/Glrx/Ahr/Rgs1/Kctd12/Cdk6/Adam17/Twsg1/Plek/Nrip1/Tox/Havcr2/Wls/Zmiz1/Arhgap31/B4galt4/Klrg1/Anxa1/Rgs1/Fancf/Flnb/Itgav/Rbpj/Ptprj/Flnb/Mdfic/Tnfrsf8/Picalm/Tnfrsf8/Cd38/Rgs1/Lilr4b/Lilrb4a/Cobll1/Nckap5/Bcr/Fancf/Smim3/Rbpj/Havcr2/Fgl2/Fam185a/Pdcd1/Akr1c13/Spaca6/Cd226/Akr1c13/Zeb2/Cd226/Samsn1/Nefl/Tnfrsf8/Tasp1/Smpd1/Mdfic/Phlda1/Rgs1/Tigit/Tnfrsf8/Penk/Smim3/Tox/Ctsb/Cd226/Bcr/Twsg1/Igflr1/Tasp1/Dhrs3/Areg/Tnfrsf8/Cd226/Itgb8/Galc/Gpr65/4930503L19Rik/Il2rb/Sh3rf1/Sh3rf1/Nceh1/Tnfsf10/Cd226/Cdk6/Fam129a/Mdfic/Mdfic/Mdfic/Arnt2/Bmpr2/Mdfic/Cc2d2a/Prdm1/Mib1/Npnt/Tec/Samsn1/Dhrs3/Ikzf2/Nceh1/Tnfsf10/Tnfrsf8/Icam1/Pde4a/Kifap3/Zeb2/Flnb/Mdfic/Casp6/Sh3rf1/Tigit/Gpr160/Cst7/Plek/Rgs1/Smim3/Flnb/Flnb/Plek/Rap2a/Mdfic/Rbl2/Il1rl1/Upp2/Cd226/Cd200/Cd200/Chst11/Mdfic/Fam167a/Rgs1/Hpgds/Galc/Gpr65/Plek/Sh3rf1/Nrip1/Mdfic/Mdfic/Cd200/Smpd1/Wls/Flnb/Syne3/Rgs1/Cd226/Tnfrsf8/Rgs1/Fabp5/Dkk3/Ikzf2/Ikzf2/Itgb8/Tasp1/Npnt/Cep85l/Mansc1/Mdfic/Rgs1/Phlda1/Rgs1/Sytl2
2019_NAT_IMMUNOL_Nakayama---Cir_CD44hi_vs_CD44lo_up,2019_NAT_IMMUNOL_Nakayama---Cir_CD44hi_vs_CD44lo_up,403,-0.25703030336258015,-2.771165492228555,1.1499540018399264e-4,7.458891337514833e-4,3.4498859455810236e-4,5705,"tags=46%, list=29%, signal=34%",Dhrs3/Zfp760/Tbc1d4/Man2a1/Rbpj/Aim2/Msl3l2/D16Ertd472e/Mdfic/Slc9a9/Tnfrsf1b/Tnfsf14/Diaph3/Cldnd1/Ar/Egln3/Zyx/Nfkb1/Smim3/Ikzf2/Mmp25/Casp3/Ccdc50/Gprin3/Smpdl3a/Rbpj/Fam171b/Cldn12/Nt5e/Lilr4b/Lilrb4a/Zfp760/Gprin3/Tnfaip8/Aebp2/Pdcd1/Slamf7/Nabp1/Sh3rf2/Ppm1k/Itga2/Smco4/Ccdc50/Mapre2/Ybx3/Bcl2a1b/Mthfs/Sap30/Hmgb2/Ell2/Glrx/1500009L16Rik/Smim3/Plscr1/Gabarapl1/Klrk1/Nt5e/Cass4/Ipmk/Il2ra/Il15ra/Atf6/Dusp12/Tnfaip8/Rgs1/Etv6/Ptpn13/Bcl2a1b/Mthfs/Cobll1/Golim4/Sdcbp2/Mdfic/Nt5e/Fam92a/Cldnd1/Trps1/Pls3/Nebl/Bhlhe40/Aebp2/Cass4/Nkg7/Plscr1/Zeb2/Golim4/Ell2/Glrx/Plcl1/Cox17/Ccdc50/Mdfic/Nkg7/Zfp52/Zfp760/Ubxn8/Gatad1/Ybx3/Ppp1r12a/Spc25/D16Ertd472e/Arhgap26/S100a11/S100a10/Cers4/Mcm9/Plcb4/Diaph3/Vcpkmt/Ctsz/Tnfsf8/Tbc1d4/D16Ertd472e/Tnfrsf1b/Man2a1/Ptger2/Ell2/Glrx/Ahr/Rgs1/Ndnf/Serpinb6b/Serpinb9/Serpinb6b/Serpinb9/Hk2/Arhgap26/Mapre2/Col4a2/Havcr2/D16Ertd472e/Atp2b1/Gabarapl1/Klrk1/Tdg/Slc9a9/Chst2/Smpdl3a/Baz1a/2700097O09Rik/Arhgap31/B4galt4/Klrg1/Nek7/Ccdc50/Itgb1/Gng2/Depdc1a/Gpr68/Rgs1/Ryr3/Lnx2/Polr1d/Ezh2/Alcam/E2f8/Mmp25/Ryr3/Diaph3/Nfkb1/Fam171b/Ttc39b/Rbpj/Gabarapl1/Klrk1/Cldnd1/Nt5e/Mdfic/Etv6/Cldnd1/Tnfrsf1b/Nedd4/Mmp25/Tnfrsf1b/Cd38/Rgs1/Rpgrip1l/Cldnd1/Lilr4b/Lilrb4a/Cobll1/Smim3/Ebi3/Rbpj/Cldnd1/Havcr2/Fgl2/Nfkb1/Pdcd1/Nucb2/Etv6/Zeb2/Plscr1/Gprin3/Ptpn13/Samsn1/Fam124b/Tnfrsf1b/Mapre2/Map3k8/Smpdl3a/Gprin3/Mthfsl/Bcl2a1d/Lig1/Trps1/Mdfic/Nabp1/Golim4/Ppp1r12a/D16Ertd472e/Rgs1/Tigit/Tnfrsf1b/Tnfsf14/Gpm6b/Smpdl3a/Penk/Man2a1/Smim3/Ppm1k/Ctsb/Tiam1/Trps1/Ttc39b/Adora2a/Diaph3/Klrk1/Gpm6b/Ybx3/Etv6/Ccdc50/Ubxn8/Gsr/Zbtb32/Serpinb6b/Serpinb9/Gprin3/Chm/Dhrs3/Tnfsf8/Gpm6b/Areg/Tnfrsf1b/Itgb8/Igfbp7/Chm/Kctd17/Il2rb/Alcam/Plscr1/Slco3a1/Plscr1/Zfp141/Cd82/Farp1/Igfbp7/Ccp110/Fam129a/Mdfic/Igfbp7/Slc25a24/Gprin3/Mdfic/Ptger2/Slc9a9/Slc9a9/Antxr2/Nkg7/Mdfic/Baz1a/Bmpr2/Mms22l/Usp6nl/Mdfic/Ttc39b/D16Ertd472e/Slc9a9/Npnt/Ccna2/Atp10d/Samsn1/Dhrs3/Ikzf2/Impact/Il23r/Tnfrsf1b/Stoml2/Fam214b/Glb1/Ccr4/Hk2/Zeb2/Ap2s1/Calm3/Gng2/Mdfic/Gabarapl1/Klrk1/Mcm9/Mcub/Plscr1/Tigit/Chm/Tnfaip8/Rgs1/Eea1/Alcam/Vav3/Ybx3/Stoml2/Fam214b/Smim3/D16Ertd472e/Atp2b1/Hmgb2/Msl3l2/Alcam/Casp3/Mdfic/Igfbp7/Ap3s1/Il23r/Sh2d1a/Il1rl1/Il18r1/Il18rap/Chm/Etv6/Ptger2/Ccdc18/Diaph3/Antxr2/Cd200/Cd200/Chst11/Hivep3/Il23r/Hccs/Slc9a9/Gprin3/Plscr1/Diaph3/Leprot/Mdfic/Alcam/Rgs1/Ttc39b/Carnmt1/Ldlrad4/Tnfaip8/Gprin3/Arhgap18/Kcnk5/Tnfaip8/Mob1b/Notch2/Mdfic/Gabarapl1/Klrk1/Ppp1r12a/Casp1/Casp4/Mdfic/Serpinb6b/Serpinb9/Atp10d/Cd200/Itgb1/Ppm1k/Itgb1/Sh2d1a/Nfkb1/Il23r/Hivep3/Pcdhgc3/Syne3/Rgs1/Ttc39b/Plcl1/Sh3rf2/Tnfsf8/Tnfrsf1b/Il17a/Nckap1/Rgs1/Gramd1b/Carnmt1/Capn2/Ikzf2/Nek7/Ikzf2/Il23r/Slc9a9/Itgb8/Arhgap18/Itgb1/Prr5l/Il23r/Npnt/Ccdc50/Mdfic/Tnfsf14/Rgs1/Cenpe/Plac8/Notch2/Lig1/Rgs1/Hccs
2019_NAT_IMMUNOL_Nakayama---LungTRreg_Foxp3Promoted,2019_NAT_IMMUNOL_Nakayama---LungTRreg_Foxp3Promoted,174,-0.28938206929887766,-2.5102379333539093,1.1793843613633684e-4,7.458891337514833e-4,3.4498859455810236e-4,4631,"tags=40%, list=23%, signal=31%",Spaca6/Cers6/Zfp52/Zfp980/Ankib1/Cers6/Olfr5/Iqsec3/Dok6/Kmo/Gxylt2/Pdzph1/Agpat4/Ahr/Kctd12/Col6a3/Rasgef1b/Nrip1/Tox/Havcr2/Klrg1/Gas2/Cep126/Mmp25/Flnb/Nipa2/Flnb/Ifi211/Mmp25/Gas2/Ifi211/Havcr2/Kmo/Adgra3/Spaca6/Dok6/Agpat4/Dok6/Gxylt2/Slc25a26/Slit2/Cped1/Tox/Dok6/Vmn1r221/Xirp2/Vmn1r221/Tmem168/Podxl/Dhrs3/Smug1/Areg/Olfr922/Dok6/Itgb8/Mttp/Ank1/Dok6/Vmn2r90/Farp1/Tmem168/Mroh2a/Cped1/Kcnab1/Arnt2/Agpat4/Faf1/Npnt/Tec/Cep126/Gabrb1/Atp10d/Dhrs3/Prkag2/Il23r/Slc25a26/Nipa2/Aknad1/Rasgef1b/Flnb/Flnb/Flnb/Tmem168/Gm527/Rap2a/Nrxn3/Zc3hc1/Il23r/Gas2/Upp2/Dok6/4930519F09Rik/Rims2/Il23r/Caps2/Rasgef1b/Dok6/Gm15319/Zfp729a/Hpgds/Ankib1/Nrxn3/Dok6/Nrip1/Dok6/Atp10d/Flnb/Olfr922/Dok6/Il23r/Pcdhgc5/Pbld1/Dok6/Yy2/Cdk14/Cers6/Olfr433/Olfr432/Rasl11b/Il23r/Itgb8/4930519F09Rik/Gm527/Rag1/Il23r/Npnt/Cep85l/Nipa2/4930519F09Rik/Adam30/Zfp825/Wdr17/Nrxn3
2019_NAT_IMMUNOL_Nakayama---LungTRreg_vs_LungTRM_dn,2019_NAT_IMMUNOL_Nakayama---LungTRreg_vs_LungTRM_dn,166,-0.3084023768878724,-2.748574479168585,1.1851149561507466e-4,7.458891337514833e-4,3.4498859455810236e-4,5147,"tags=46%, list=26%, signal=35%",Slamf7/Lgr4/Crim1/Ccdc50/Parp8/Sap30/Arap2/Klrk1/Klrc1/Palld/Trps1/Btla/Mob3b/Spry2/Spry2/Ccdc50/Synpo/Mcm9/Palld/St8sia1/Tnfsf8/Tbc1d4/Il21/Fgf2/Eml6/Serpinb6b/Serpinb9/Plscr4/Fah/Serpinb6b/Serpinb9/St18/Klrk1/Klrc1/Klrc1/Fam49a/2700097O09Rik/Dcun1d3/Mboat7/Arap2/Ccdc50/Itgb1/Dip2c/St18/Crim1/Klrk1/Klrc1/Dse/Snn/Dbt/Ifi213/Ifi208/Nedd4/Nbn/Palld/Plxdc2/Galnt3/Akr1c18/Akr1c18/Il21/Abcb1a/Trps1/Eml6/Enpp1/Eml6/Trps1/Dip2c/Fam49a/Dcun1d3/Spry2/B230307C23Rik/Klrk1/Klrc1/Ccdc50/Mob3b/Serpinb6b/Serpinb9/Tnfsf8/Kbtbd11/Pard3/Otud1/Rps6kc1/Igfbp7/Mctp2/Mboat7/Fah/Dlg2/Fgf2/Igfbp7/Galnt3/Igfbp7/Zfp365/Pogk/Acvr2a/Myo6/Il21/Arap2/Il12rb2/Eml6/Fam49a/Fgf2/Ptgir/Klrk1/Klrc1/4932438H23Rik/Vat1l/Mcm9/Dapl1/Plscr4/Dcun1d3/Palld/Arap2/Fah/Synpo/Il21/Fgf2/Igfbp7/Il12rb2/Sh2d1a/Dbt/Il1rl2/Dip2c/Dlg2/Ehd3/Btla/St18/Btla/Arap2/Bach2/Dnajc6/Dse/Xcl1/Palld/St18/Sostdc1/Dapl1/Klrk1/Klrc1/Il21/Fgf2/Dcun1d3/Rps6kc1/Serpinb6b/Serpinb9/Btla/Itgb1/Itgb1/Sh2d1a/Il12rb2/Dlg2/Plxdc2/Tnfsf8/Pdzrn3/Il17a/Dip2c/Nbn/Sostdc1/Il12rb2/Dlg2/Itgb1/Dip2c/Prr5l/Nbn/Ccdc50/Galnt3/Plac8/St8sia1/Plxdc2/St18/Rhob
2018_CELL_Schmiedel_allCellTypes---Naive_B_cells,2018_CELL_Schmiedel_allCellTypes---Naive_B_cells,157,-0.24490410391275202,-2.1050198988988544,1.1906179307060365e-4,7.458891337514833e-4,3.4498859455810236e-4,5532,"tags=43%, list=28%, signal=31%",Ptprk/Zbtb10/Dnah11/Mybl2/Synpo/Ccdc50/Syt9/Olfml1/Lgr4/Jam2/Zfp667/Dmxl1/Lgr4/Zdhhc21/Ccdc50/Rngtt/Itpr1/Zfp619/Enam/Mgat5/2900092C05Rik/Fcrla/Dmxl1/Jam2/Cobll1/Arhgap24/Btla/Map2/Ccdc50/Zfp667/Synpo/Csrp2/Kmo/Vcpkmt/Abcb4/Itpr1/Moxd1/Rngtt/Olfml1/Fgf2/Lrch1/Zbtb10/Eml6/Sybu/Thrb/Ccdc50/Usp45/Chd7/Wnt16/Cobll1/Wnt16/Cp/Arhgap17/Kmo/Arhgap24/Dach2/Mir186/Sybu/Wnt16/Tspan13/Angpt2/Eml6/Clcn4/Mir186/Mmrn1/Tspan13/Enpp1/Eml6/Jam2/Zbtb21/Ccdc50/Smim18/Dtwd2/Dmxl1/Itpr1/Areg/Macrod2/Fgf2/Mid1/Tal2/Chd7/Tifa/Bank1/Jam2/Sybu/Arhgap17/Jam2/Eml6/Tapt1/Dtwd2/Sybu/Jam2/Fgf2/Tspan13/Ccdc106/Gpr160/Synpo/Jam2/Txlnb/Rngtt/Ccser1/Fgf2/Usp45/Prdm8/Stk33/Btla/Cd200/Btla/Cd200/Ildr1/Agpat5/Bach2/Ptprk/Blk/Txlnb/Fgf2/Ccser1/Btla/Cd200/Zfp112/Map2/Clnk/Eqtn/Ccser1/Sp100/Gnb5/Cdk14/Cr2/Tmem19/Jam2/Ccdc50/Ccser1/Stk33/Jam2
2016_IMMUNITY_De_Simone---Treg_vs_Th1-or-Th17,2016_IMMUNITY_De_Simone---Treg_vs_Th1-or-Th17,148,-0.25060708919523356,-2.166184113370105,1.194885888397658e-4,7.458891337514833e-4,3.4498859455810236e-4,5781,"tags=44%, list=29%, signal=31%",Neil3/Neil3/Pecr/Tmem169/Gca/Tnfrsf8/Cd70/Diaph3/Ar/Mybl2/Ikzf2/Fhit/Glcci1/Ica1/Rgs13/Tspan5/Pecr/Tmem169/Tspan5/Ticam2/Glrx/Rgs13/Rgs1/Nebl/Tshr/Glrx/Plcl1/Adprh/Cd80/Pecr/Tmem169/Csrp2/Ctsc/Pttg1/Diaph3/Tnfrsf8/Glrx/Rgs1/Tnip3/Cdkn3/Hmcn1/Ctsc/Tox/Havcr2/Chst2/Ndfip2/Rgs13/Rgs1/Diaph3/Tshr/Tnfrsf8/Tnfrsf8/Cd38/Rgs13/Rgs1/Siglece/Ebi3/Havcr2/Lgals12/Tnfrsf8/Tspan13/Rgs13/Rgs1/Tigit/Tnfrsf8/Cd70/Tox/Tspan13/Bcas1/Diaph3/Glcci1/Ica1/Zbtb32/Prune2/Tnfrsf8/Ndfip2/Tmprss6/Sstr3/Tshr/Ccdc141/Tnip3/Fhit/Ntrk3/Fhit/Tagln3/Ikzf2/Tnfrsf8/Cpe/Trim71/Sell/Tspan5/Gng8/Ptgir/Tspan13/Tigit/Cpe/Rgs13/Rgs1/Vav3/Ntng1/Ctsc/Ctsc/Cdc45/Diaph3/Glcci1/Ica1/Pttg1/Cd200/Cga/Cd200/Hivep3/Diaph3/Rgs13/Rgs1/Ccdc141/Casp12/Cd200/Ncr1/Hivep3/Clnk/Rgs13/Rgs1/Plcl1/Tnfrsf8/Cdk14/Rgs13/Rgs1/Mical2/Cdkn3/Ikzf2/Ikzf2/Cd70/Rgs13/Rgs1/Rgs13/Rgs1
2017_CELL_REP_Kumar---CD4Lung_CD69pos_vs_neg_up,2017_CELL_REP_Kumar---CD4Lung_CD69pos_vs_neg_up,120,-0.38258618072148304,-3.228285308257869,1.2168410805548795e-4,7.458891337514833e-4,3.4498859455810236e-4,5194,"tags=56%, list=26%, signal=42%",Plekha5/Etv1/Nfkb1/Pld1/Smim3/Rbpj/Cfap69/Plekha5/Asxl2/Itga1/Smco4/Slf1/2210408I21Rik/Itpr1/Scrg1/Sap30/Tet2/Smim3/Klrc2/St7/Spink2/Rest/Pdlim5/Golim4/Plekha5/Lpp/Trps1/Plekha5/Golim4/Themis/Cblb/Exoc4/Sos2/Itpr1/Il2/Il21/Sfmbt2/Lrrc63/Cd96/Zbtb20/Nrip1/Tet2/Klrc2/Klrc2/Ndfip2/Shprh/Chd7/Gas2/Ryr3/Ryr3/Zbtb20/Nfkb1/Tet2/Rbpj/Klrc2/Dse/Gas2/Smim3/Pdlim5/Rbpj/Gyg/Nfkb1/Car2/Gtdc1/Tet2/Il2/Il21/Trps1/Golim4/Phlda1/Zbtb20/Gtdc1/Zbtb20/Plekha5/Smim3/Itpr2/Elovl6/Trps1/Tet2/Ankrd12/Lpp/Klrc2/St7/Dmd/Itpr1/Ndfip2/Spink2/Rest/Ccdc141/Rest/Plekha5/Chd7/Tifa/Il2/Il21/Themis/Gtdc1/Klrc2/Stat4/Herc3/Meis3/Zbtb20/Gtdc1/Ankrd12/Eea1/Cblb/Smim3/St7/Cblb/Nek1/Klhl28/Zbtb20/Meis3/Il21/Rest/Mpp7/Chd9/Pdlim5/Gas2/Plekha5/Tet2/Zfp292/Themis/Exoc4/Dse/Cblb/Cblb/Themis/Smc3/Xcl1/Arhgap18/Atg7/Ccdc141/Kcnk5/Nrip1/Klrc2/Il21/Stat4/Zbtb20/Plekha5/Nfkb1/Nek1/Meis3/Atrx/Tet2/Themis/Arhgap18/Plekha5/Klhl28/St7/Themis/Phlda1/Serpine2/Themis
2017_CELL_REP_Kumar---CD4Spleen_CD69pos_vs_neg_up,2017_CELL_REP_Kumar---CD4Spleen_CD69pos_vs_neg_up,96,-0.2572602922102019,-2.081113687424995,1.2509382036527395e-4,7.458891337514833e-4,3.4498859455810236e-4,5285,"tags=43%, list=27%, signal=32%",Glcci1/Ica1/Jam2/Pdcd1/Nabp1/Itga1/Ell2/Dthd1/Jam2/Cobll1/Trps1/Adarb2/Pls3/Ell2/Spry2/Spry2/Tnfsf8/Tnc/Il2/Il21/Ell2/Adarb2/Tnip3/Cog5/Hmcn1/Tox/Ndfip2/Phc1/Ipcef1/Dthd1/Adarb2/Cobll1/Pdcd1/Flt4/Il2/Il21/Amn1/Trps1/Nabp1/Tigit/Prlr/Dclk1/Tox/Mmrn1/Wnk2/Trps1/Rbm11/Dclk1/Jam2/Fgf13/Spry2/Ipcef1/Glcci1/Ica1/Tnfsf8/Tnc/Dclk1/Ndfip2/Tnip3/Ildr2/Ntrk3/Npnt/Il2/Il21/Jam2/Jam2/Jam2/Phtf2/Tigit/Cog5/Jam2/Il21/Glcci1/Ica1/Adarb2/Spred2/Phtf2/Plag1/Arhgap18/Kcnk5/Il21/Clnk/Pcdhgb2/Pcdhga5/Tnc/Tnfsf8/Sytl4/Jam2/Arhgap18/Npnt/Jam2
2019_JEM_Beura---CD4_NLT-SLO_TRM_up,2019_JEM_Beura---CD4_NLT-SLO_TRM_up,56,-0.4981584728437359,-3.5944821275009287,1.340662287169862e-4,7.458891337514833e-4,3.4498859455810236e-4,5950,"tags=72%, list=30%, signal=51%",Bcl2a1d/Mdfic/Cd226/Bcl2a1d/Mdfic/Rbpj/Ston2/Ston2/Mdfic/Cd226/Rbpj/Lilrb4a/Slamf7/Itga1/Glrx/Il2ra/Rgs1/Mdfic/Bhlhe40/Nkg7/Glrx/Mdfic/Nkg7/Cd226/Itih5/Glrx/Rgs1/Kctd12/Rgs1/Rbpj/Mdfic/Nedd4/Cd38/Rgs1/Lilrb4a/2010111I01Rik/Rbpj/Fgl2/Trim36/Cd226/Cd226/Bcl2a1d/Mdfic/Rgs1/Tigit/Cd226/Stau2/Cd226/Tnfsf10/Ston2/Cd226/Mdfic/Mdfic/Nkg7/Mdfic/Arnt2/Mdfic/Prdm1/Myo6/Tnfsf10/Il12rb2/Icam1/Mdfic/Tigit/Rgs1/Vav3/Mdfic/Il12rb2/2010111I01Rik/Cd226/Ston2/Chst11/Hivep3/Mdfic/Rgs1/Xcl1/Kcnk5/Mdfic/Mdfic/Rhoc/Il12rb2/Hivep3/Rgs1/Cd226/Rgs1/Il12rb2/Mdfic/Rgs1/Plac8/Rgs1
