"","file","IL2_dependent"
"1","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/Arm_vs_Cl13/A/A_vs_C_differential.csv","yes"
"2","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/Arm_vs_Cl13/A/A_vs_N_differential.csv","yes"
"3","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/Arm_vs_Cl13/C/C_vs_A_differential.csv","yes"
"4","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/Arm_vs_Cl13/C/C_vs_N_differential.csv","yes"
"5","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/Arm_vs_Cl13/N/N_vs_A_differential.csv","yes"
"6","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/Arm_vs_Cl13/N/N_vs_C_differential.csv","yes"
"7","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5P/A5P_vs_A5T_differential.csv","yes"
"8","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5P/A5P_vs_A8P_differential.csv","yes"
"9","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5P/A5P_vs_A8T_differential.csv","yes"
"10","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5P/A5P_vs_C5P_differential.csv","yes"
"11","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5P/A5P_vs_C8P_differential.csv","yes"
"12","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5P/A5P_vs_NP14B_differential.csv","yes"
"13","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5T/A5T_vs_A5P_differential.csv","yes"
"14","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5T/A5T_vs_A8P_differential.csv","yes"
"15","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5T/A5T_vs_A8T_differential.csv","yes"
"16","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5T/A5T_vs_C5P_differential.csv","yes"
"17","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5T/A5T_vs_C8P_differential.csv","yes"
"18","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A5T/A5T_vs_NP14B_differential.csv","yes"
"19","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A8P/A8P_vs_A5P_differential.csv","yes"
"20","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A8P/A8P_vs_A5T_differential.csv","yes"
"21","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A8P/A8P_vs_A8T_differential.csv","yes"
"22","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A8P/A8P_vs_C5P_differential.csv","yes"
"23","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A8P/A8P_vs_C8P_differential.csv","yes"
"24","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A8P/A8P_vs_NP14B_differential.csv","yes"
"25","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A8T/A8T_vs_A5P_differential.csv","yes"
"26","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/1_Scanpy/0_Scanpy_out_resampled/2_DE/celltype_vs_celltype/A8T/A8T_vs_A5T_differential.csv","yes"
