,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.5422296,-0.7950059175491333,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.6826516,0.21203988790512085,True,0.009909635339029558,0.10485591781676867,0.14879653977858967,17.09321000874443,3.831211793422699,0.03386252745985985,0.015069804154336452,0.25647667559785675,0.0,0.0,1.4247182344160366e-08,0.0860077885157961,0.049473407116301105,0.7554171076559558,2.2358568841942725
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6111768,-0.8117407560348511,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.28096986,0.06363499164581299,True,0.3149755568551936,0.6774828255689459,0.29596019517056427,9.32620695455344,0.2862417170405388,0.10906262695789337,0.20670108497142792,0.2644312461750306,0.0,0.0,0.40722800045920704,0.29464517957001324,0.6248349492149107,0.8139453843679171,2.6642760752561303
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.3807966,-0.709052324295044,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,7.200171,-7.924290657043457,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.43660468,-1.6910333633422852,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.7369277,-0.8593711853027344,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.007532808,-6.822671890258789,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,6.443549,-5.58072566986084,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.063299485,0.03632485866546631,True,0.634331163147886,3.5718443836550544,0.22213504994289618,12.599891349161037,0.050067298840731383,0.05538071319460869,0.5226442813873291,0.20364000344918445,0.0,0.0,0.40666882317892616,0.15109671595808424,2.032219567175569,1.3780336579292272,2.516319729035015
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.106260255,0.8655479401350021,True,2.422536332870865,6.6034009694758335,0.6378394228268296,11.758020245108668,0.04833096748217941,0.11886990815401077,1.1621127128601074,0.5255943316434034,0.0,0.0,0.47561757024136825,0.359594838513485,3.288932479339941,0.13189346099604754,1.4100007892438209
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.64413935,-0.4408947229385376,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,89.15716,-0.3340669870376587,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.15229806,-0.427443265914917,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.60307825,-0.6852338314056396,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.05256645,-3.3896918296813965,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.3479232,-1.032212495803833,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.8087916,0.5521284639835358,True,0.17670951302555335,0.11506124479395419,0.2685261335908704,7.473984820743298,1.9822079765796663,0.40491822361946106,0.11081992089748383,0.38117203189471316,0.0,0.0,0.361559893348952,1.1085835585067585,0.3466579315316831,0.2730341065639138,2.265333543985566
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.13204728,-0.3128178119659424,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.8393066,-0.9965193271636963,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.3511323,-1.3110864162445068,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.79577,-2.2794077396392822,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.8404773,0.0762830376625061,True,0.0725363082695844,0.12263305565806205,0.13102951096403792,22.716414084601542,2.202472278177738,0.21300435066223145,0.13708852231502533,0.25983568781180055,0.0,0.0,0.1831558444960225,0.6418772989639338,0.3613597828862739,0.8299739830889726,5.248135833479452
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.6844858,-1.205540657043457,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.26084912,-0.9210799932479858,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.0462685,-2.4966628551483154,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.046819467,-7.533239364624023,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.2194088,-1.7205772399902344,False,,,,,,,,,,,,,,,
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,0.60494345,-0.6193739175796509,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.5586046,-0.6075245141983032,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.09777287,-2.1390016078948975,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,2.6405692,-1.1230459213256836,False,,,,,,,,,,,,,,,
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,8.11504,0.09934687614440918,True,0.036875282468132556,0.00915126632916798,0.09066083809131817,21.304396857910046,16.79908326466878,1.1764347553253174,0.07236402481794357,0.22408741591415757,0.0,0.0,0.29609070986121355,3.6410463457136912,0.23725632187942491,0.9833796266641802,7.057696209315748
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.50512075,-0.30092501640319824,False,,,,,,,,,,,,,,,
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.5023531,-0.5719591379165649,False,,,,,,,,,,,,,,,
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.4077314,-0.30058395862579346,False,,,,,,,,,,,,,,,
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,2.0507917,-2.116269826889038,False,,,,,,,,,,,,,,,
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.32572943,-0.8987905979156494,False,,,,,,,,,,,,,,,
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.39245915,-0.28134000301361084,False,,,,,,,,,,,,,,,
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,1.1375895,-0.6679888963699341,False,,,,,,,,,,,,,,,
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,2.5180378,-2.743380546569824,False,,,,,,,,,,,,,,,
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,4.6010547,-6.952893257141113,False,,,,,,,,,,,,,,,
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.9494092,-0.04298853874206543,False,,,,,,,,,,,,,,,
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,2.2409658,-0.26898515224456787,False,,,,,,,,,,,,,,,
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.27491263,-0.7169554233551025,False,,,,,,,,,,,,,,,
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.2589177,-0.8006424903869629,False,,,,,,,,,,,,,,,
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.75181127,-3.7473320960998535,False,,,,,,,,,,,,,,,
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.9585278,-0.680526852607727,False,,,,,,,,,,,,,,,
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.5336531,-0.7165161371231079,False,,,,,,,,,,,,,,,
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,7.604407,-3.9449143409729004,False,,,,,,,,,,,,,,,
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.37258422,-1.5769312381744385,False,,,,,,,,,,,,,,,
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.018899778,-0.27515316009521484,False,,,,,,,,,,,,,,,
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,0.6831177,-0.22701728343963623,False,,,,,,,,,,,,,,,
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,0.4626544,-1.1770720481872559,False,,,,,,,,,,,,,,,
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.4834027,-0.7272818088531494,False,,,,,,,,,,,,,,,
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,1.2582577,-1.576801061630249,False,,,,,,,,,,,,,,,
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.6888945,-1.4187984466552734,False,,,,,,,,,,,,,,,
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.20171943,-0.5622175931930542,False,,,,,,,,,,,,,,,
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,0.76263237,-0.32379984855651855,False,,,,,,,,,,,,,,,
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,0.41703278,-0.28478336334228516,False,,,,,,,,,,,,,,,
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,1.1483845,-2.1393165588378906,False,,,,,,,,,,,,,,,
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.44045982,-0.5291275978088379,False,,,,,,,,,,,,,,,
Als2,ENSMUSG00000026024,1,59237231,59162926,-,-0.0013,2.921075,-3.078584671020508,False,,,,,,,,,,,,,,,
