comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval
0,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,1.931220630840929,7.534300896185265e-4,1.1415525114155251e-4,28,3.1229570394362516,3.9425041061680806
0,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,1.9377369494122982,7.534300896185265e-4,1.1482374555057986e-4,27,3.1229570394362516,3.9399682905513362
0,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_up,1.9097961826301104,7.534300896185265e-4,1.1896264572924102e-4,31,3.1229570394362516,3.9245893856694183
0,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,-2.4500651186287827,7.879893828798938e-4,3.1756113051762465e-4,56,3.1034796340177278,3.498172660636544
0,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,-2.5576644942632702,7.879893828798938e-4,3.1887755102040814e-4,61,3.1034796340177278,3.496376054012401
0,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,-2.7744529476515782,7.879893828798938e-4,3.727171077152441e-4,61,3.1034796340177278,3.428620672671939
0,2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,1.7271011129569953,7.879893828798938e-4,3.8333759263991824e-4,25,3.1034796340177278,3.4164185888449987
0,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,-3.150935088201762,7.879893828798938e-4,4.1631973355537054e-4,70,3.1034796340177278,3.3805730030668872
0,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_dn,-2.7731950918072417,7.879893828798938e-4,4.2625745950554135e-4,52,3.1034796340177278,3.3703280077795106
0,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,-3.0651357973262994,7.879893828798938e-4,4.4742729306487697e-4,55,3.1034796340177278,3.3492775274679554
0,2016_SCIENCE_Mackay---TCM_vs_TEM-TRM,-2.110730740645432,7.879893828798938e-4,4.562043795620438e-4,43,3.1034796340177278,3.3408405498123317
0,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_up,-1.6560032823940531,8.771929824561404e-4,5.54016620498615e-4,32,3.0569048513364727,3.256477206241677
0,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_up,1.58531758749188,0.0011943461628262,8.17184216670558e-4,29,2.9228697814003017,3.0876800300462937
0,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,-2.4533426704467725,0.0016796322489391797,0.0012376237623762376,49,2.7747857954999953,2.907411360774586
0,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,-2.244764799101945,0.0018572825024437928,0.001466275659824047,50,2.7311220327593313,2.833784374656479
0,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,1.5319939762280455,0.0028487465515173323,0.0023989444644356484,23,2.5453461875361487,2.619979805833053
0,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_up,1.455830053848645,0.004720655385441848,0.004223744292237443,15,2.325997702526531,2.3743023821010856
0,2016_SCIENCE_Mackay---TRM_vs_TCM-TEM,-1.368898025464077,0.006556245686680469,0.006211180124223602,24,2.1833447801823267,2.2068258760318495
0,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_up,1.3010837689966506,0.066782738465365,0.066782738465365,22,1.1753357764165298,1.1753357764165298
1,2016_SCIENCE_Mackay---TRM_vs_TCM-TEM,1.4894841684822162,3.9897526353366086e-4,9.999000099990002e-5,21,3.39905402973645,4.000043427276863
1,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_up,2.0548472937918425,3.9897526353366086e-4,1.0368066355624676e-4,40,3.39905402973645,3.9843022319799033
1,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_up,2.07512525493371,3.9897526353366086e-4,1.0484378276368212e-4,42,3.39905402973645,3.979457318097848
1,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,2.150408670003481,3.9897526353366086e-4,1.0911074740861975e-4,41,3.39905402973645,3.9621324692982354
1,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,2.216072910182562,3.9897526353366086e-4,1.1159468809284678e-4,52,3.39905402973645,3.9523564773237907
1,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,1.9090899187437196,3.9897526353366086e-4,1.2599218848431397e-4,30,3.39905402973645,3.8996563803056357
1,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,1.768987212718016,6.30862455383083e-4,2.3242300987797793e-4,24,3.200065318061026,3.633720878999598
1,2016_SCIENCE_Mackay---TCM_vs_TEM-TRM,-2.5903689867926767,0.0035029498525073746,0.0014749262536873156,46,2.455566079906178,2.8312296938670634
1,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,-1.6255286479198456,0.006089743589743589,0.002967359050445104,34,2.215400993065614,2.5276299008713385
1,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_up,-1.5355512248192726,0.006089743589743589,0.003205128205128205,27,2.215400993065614,2.494154594018443
1,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_up,-1.9781296809543938,0.008723599632690543,0.005050505050505051,35,2.059304274466927,2.296665190261531
1,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,-1.777196504667812,0.01208651399491094,0.007633587786259542,33,1.9176989407505602,2.1172712956557644
1,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_up,-1.634289790654757,0.013167013167013165,0.009009009009009009,32,1.8805127301406652,2.0453229787866576
1,2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,1.4397041042432324,0.03485110056107035,0.0256797583081571,26,1.457783502786835,1.590409068061426
1,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,1.5323436731687117,0.03979393632294569,0.03141626551811502,22,1.4001830993361326,1.5028454412332803
1,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,-2.1580253819450155,0.04567307692307693,0.038461538461538464,45,1.3403397296739137,1.414973347970818
1,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,-1.2035464796412452,0.06597222222222222,0.0594059405940594,27,1.180638886806402,1.226170123398999
1,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,-2.059503683134115,0.06597222222222222,0.0625,43,1.180638886806402,1.2041199826559248
1,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_dn,1.0855319666688044,0.37382453811262306,0.37382453811262306,9,0.42733219461812333,0.42733219461812333
10,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,1.609186723252921,3.878105035413223e-4,1.3116474291710389e-4,34,3.411380432574843,3.88218288763027
10,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,1.980560209677925,3.878105035413223e-4,1.3783597518952445e-4,34,3.411380432574843,3.8606374167737547
10,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_up,1.6870287706641403,3.878105035413223e-4,1.3966480446927373e-4,28,3.411380432574843,3.8549130223078554
10,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,1.9743732759518247,3.878105035413223e-4,1.4025245441795232e-4,28,3.411380432574843,3.8530895298518657
10,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_up,1.9391419130857255,3.878105035413223e-4,1.4184397163120567e-4,35,3.411380432574843,3.848189116991399
10,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_up,1.986630471059114,3.878105035413223e-4,1.4240956992309884e-4,36,3.411380432574843,3.8464608251293324
