,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.56692064,-0.4431110620498657,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.2879556,0.22598391771316528,True,0.023562178185118614,0.21853779051544128,0.1370257007517956,5.855457969792157,2.5818430772423735,0.0370972640812397,0.021876072511076927,0.22015335188817278,0.0,0.0,0.03778486942847962,0.09973571086089729,0.06353075716419723,0.84146542595484,2.4285297063745324
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.7431716,-0.7335221767425537,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.3617872,0.3063793182373047,True,0.4055739654532932,0.8332655458753223,0.3719568183617703,12.458247913920397,0.2191468720883131,0.11881810426712036,0.25618231296539307,0.422665573324824,0.0,0.0,0.40814423562635826,0.3041297159895844,0.902764111564591,0.3179395709063504,2.464301336815942
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.3180301,-0.6881401538848877,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,5.93681,-15.155195236206055,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.5352893,-0.4896200895309448,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.84819525,-0.6303553581237793,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0028182848,-5.383847236633301,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,7.3844924,-3.1793947219848633,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.07898824,-0.3356548547744751,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.10712707,0.8603758662939072,True,2.304800150477839,6.192709166568509,0.5594184330912167,8.779409958729403,0.046536676269024614,0.12752677500247955,1.2948153018951416,0.5478275545327119,0.0,0.0,0.4796308477922773,0.36060274626540356,3.209826790117498,0.18206925499779605,1.6395541564406684
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,1.3761711,-1.1149280071258545,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,47.71705,-0.49888789653778076,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.34431857,-0.3045837879180908,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.4068915,-3.8546977043151855,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.061548654,-2.7198197841644287,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,0.9302056,-2.7507336139678955,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.7810352,0.25468695163726807,True,0.10260771665784903,0.062489358464456204,0.1211426757794653,14.764363781797853,1.4121580052375795,0.4232422411441803,0.14161443710327148,0.39594508022588276,0.0,0.0,0.28312347546876016,0.9493805321694583,0.3802661252336512,0.2500916015274344,5.099447857073781
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.19785002,-0.23877036571502686,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.73337203,-1.6251633167266846,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,0.75093454,-1.9055912494659424,False,,,,,,,,,,,,,,,
