ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
Exp391_CD8---GSE132110_Tim3pos_vs_Tim3neg---Tim3neg,Exp391_CD8---GSE132110_Tim3pos_vs_Tim3neg---Tim3neg,1077,0.5113071590074633,1.2552062826816526,9.999000099990002e-5,8.024042950513538e-4,4.453535800285026e-4,10299,"tags=52%, list=34%, signal=36%",Dapl1/Pdzk1ip1/Tdrp/Myo1h/Rnf32/Map9/Dkk3/Sspo/Qser1/Nr3c2/Arhgap22/Bace2/Morn4/St8sia6/Erich3/Syt5/Susd4/Pram1/Slc2a13/Ptprn2/Adamtsl2/Krt83/Whrn/Tprg/Tenm4/Il7r/Vipr1/Nrn1/Sostdc1/Ces2d-ps/Cnksr3/Plxna3/Vat1l/Nsg2/Capn3/Tnfsf11/Kif13a/Enpp2/Scamp1/Sh3gl3/Capn9/4930452B06Rik/Pcsk1/Gucy1a1/Ccn4/Fhdc1/Pde10a/Rfx8/Slc6a12/Penk/2810047C21Rik1/Gucy2e/Cacna1b/Cacna1d/Ccr7/Gm3696/Spsb1/Slc16a5/Hcn3/Rec8/Lad1/Slc30a3/Aff3/Pkhd1l1/Slc22a17/Gm14270/Cym/Slc46a1/Rfx4/Fam20c/Txnrd3/Tcf7/Icam5/Gucy2g/Tnfsf8/Itgb5/Galnt14/Sema4c/Kit/Eng/Sec14l2/Tnp2/Gabrr2/Pxdn/Rapgef4/Ramp1/Irf6/Ampd3/Icam4/Dscam/Gpr63/Zfp612/Dclk1/Dlg5/Slc7a4/Colq/Tmie/Vwa3b/BC051142/Adcy9/Gm3383/Lmo7/Tuba8/Nme4/Mx2/Id3/Cd83/Art3/Mctp1/Lif/Bst1/Tbc1d4/Slit3/Hapln1/Dmrta1/Tha1/Sell/Lta/Bcam/Fam160a1/Nlgn2/Ripor3/Tmem17/Galnt9/Zfp618/Oasl2/Ccdc116/Slc16a2/Tns1/Pnck/Mical3/Gm46142/Megf8/Izumo1r/Slc9b2/Plxna1/Scin/Slc7a10/Csf2ra/Smim1/Spaca1/Prss41/Cd200/Sestd1/Ldhb/Gm5124/Fggy/Nhsl1/Treml2/Nyx/Syngap1/Plxdc2/Prss12/Cpq/Btnl7-ps/Tmem121/Rflnb/Actbl2/Tmprss11e/Fam163a/B630019K06Rik/Fibcd1/Amotl2/Tnfsf4/Irs2/Trio/Neo1/Tmod2/Plagl1/Abat/Adcy1/Tlr3/Zbtb10/Pax5/Igf1r/Shroom4/Oas2/Prdm5/Zmynd12/Rab6b/Ddc/Ccr6/Rnf43/Kifc3/Il1r2/Clcn2/Fbxo10/Gtf2ird1/Iigp1/Sptb/Plp1/Map7/Ift172/Tnf/1700019D03Rik/1110032F04Rik/Gldc/Edn3/Prxl2a/Dock6/Ifi211/Pecr/Dio2/Vash2/Ptgfrn/Glt28d2/Pdcd1lg2/Ccdc148/Tnfrsf23/Thnsl1/Cxcr5/Rangrf/Tmem141/Wdfy2/Klf4/Shisa6/Irak1bp1/Plcd3/Cmya5/Cxcl10/Chst15/Cbfa2t3/Ltb/Dync2li1/Kcnu1/Sdc1/Pgbd1/Lypd6b/Ttbk1/Tmem108/Qrfp/Steap4/C1qtnf4/Rph3a/Cxxc5/Mcrip2/Armcx2/Qtrt2/Top1mt/St6gal1/Gja5/Tnfrsf26/Msl3l2/Trat1/Afap1/Mob3b/Grtp1/Gm4951/Plekha8/Tmtc3/Arrdc4/Ttn/Dnal1/Socs1/Tsc22d1/Abca3/Eno2/Rtl6/Syde1/Kbtbd11/Rbm20/Sfxn5/Cldn10/Jun/Hdac9/Cnr2/Map3k9/H2-Oa/Ighm/Tmem121b/Adk/Gm6545/Fcrl1/Hmgn3/Pheta1/Man1c1/Itga10/Cd74/Amacr/Serpina9/Gm5709/Cyp1a1/Ramp3/Mgat3/Ccdc120/Bcl9/Ptprm/Cdh20/Wnt1/Slc27a6/Dthd1/Mgrn1/Lipm/Twist1/Ears2/Syt6/Adamts20/Ccdc125/Sfmbt2/Cd24a/Rsad2/Tnnt2/Tsen2/Chchd6/Hspg2/Islr2/Cyb5rl/Kcnip3/Dctd/Kcnq3/Rabl2/Axl/Emb/Ffar1/Il18/Pmepa1/Itga7/Slc15a3/Gpr183/Ctsz/Cd81/Bmyc/Zc3h12c/Ntn1/Ipo4/Cd19/Ssbp2/Csta2/Slc2a6/Mettl1/Coq4/Nr2c1/Slc26a11/Macrod1/Bach2/Prickle1/Smyd5/Pafah2/Xcl1/Cryz/Bphl/Nim1k/Lrig1/Scmh1/Kifap3/Ccser1/Pgpep1l/Sh3bp5/H2-Eb2/2810459M11Rik/Tspan6/Sh3pxd2a/Dnase1l3/Btla/Pou2af1/Rpgrip1/Pou6f1/Lmln/Iglc3/Zfp365/Ppfia2/P2rx7/Apex1/Mtss1/She/Pld4/Tmlhe/Ccdc28b/Tnfrsf25/App/Arhgef10/Cd22/Ckap4/Cd320/Rab11fip5/Zfp516/Twist2/Abca1/Bambi-ps1/Ly6m/Myb/Ttc27/AI854703/Mrps6/Tuft1/Ifi204/Slamf6/Zscan12/Crppa/H2-Ob/Npdc1/Maged1/Cd79a/Fcer2a/Gpm6b/Ston1/Morn2/Spr/St8sia1/2510009E07Rik/Rhob/Ptpn3/Synj2/Taf4b/Cnn3/Endog/Igsf3/Galr3/Olfr155/Ces2c/Rcc1l/Sp6/Rps18-ps3/Ptprs/Sgms1/Abca5/Rbp1/Tbxa2r/Tmem216/Clybl/Reck/Six5/Ddr1/Ifit3b/5031439G07Rik/Rab4a/Sort1/Cd9/Kdm4d/Hspb1/Zfp661/Zdhhc23/Klhl8/Prpf40b/Cnga1/Cdcp1/Tlr9/Wnt10b/Gm4841/Cldnd1/Wipf3/Snn/Lst1/Rnft2/Hvcn1/Nucb2/Ift74/Zfp773/Dennd6b/Tnfrsf22/Spats1/Rpp38/Zhx2/Cep290/Gzf1/Ccdc141/Spata7/Tlr7/Exph5/Marcksl1/Bzw2/Slc12a2/B3galt1/Ighd/Trmt1/Amigo2/Gstt3/Crtam/Boll/Wdr54/Slc7a5/Cmpk2/Usp27x/Zc3h12d/Prss53/Fam43a/Cd2ap/Chst3/Camsap2/Milr1/Xxylt1/Fam162a/Ptrh1/Scd1/Ttyh1/Nlrc4/Icos/Epop/P2rx4/Wdr19/Fchsd2/Vav2/Aldh6a1/5730409E04Rik/Ahrr/Serpina12/Ighg3/Hhat/Rnf157/Akr7a5/Ivd/Spire1/Evl/Cep19/Il6ra/Egln3/Pfn2/Slc25a23/Metap1d/Ms4a4c/Cbarp/Sft2d2/Zfp976/Elp1/Usp53/Bbs2/Slfn5/Immp2l/Slc30a4/Tspan3/Ly6e/Axin2/Spin4/Bco2/Amigo1/Rhbdd2/Cnrip1/Ifit3/Ephx1/Mapk11/Gzmm/Itga9/Dennd2d/Ly6a/Mvk/Lrrk2/Traf1/Zbed5/Rpsa-ps10/Aldh5a1/Tmem8b/Mgmt/Lmbr1/Eml5/Cd72/D3Ertd254e/Plpp1/Tfpi/Wnt10a/Lysmd2/Wdr35/Hs1bp3/Acvr1b/Gm49396/Tespa1/Nit2/Tyro3/Oas3/Tufm/Ctsl/Mid2/Atp9a/Ifi44/Arsg/Gstp3
Exp391_CD8---TE_dn,Exp391_CD8---TE_dn,252,0.6185804708175806,1.491946958234659,9.999000099990002e-5,8.024042950513538e-4,4.453535800285026e-4,10269,"tags=76%, list=34%, signal=51%",Gm3375/Dapl1/Tdrp/Gbp10/Myo1h/Moap1/Gm5380/Nutf2-ps2/Cfap74/Tcea1-ps1/Samd14/Usp44/Gm18537/Rps11-ps3/Gm17952/Gm37025/Smarca5-ps/Il7r/Myo15/Glrb/Ptpn5/Fscn1/Osgin1/Gm30023/2900026A02Rik/1300017J02Rik/Gm15710/Gm12182/Dgat2/Olfr1262/Rps2-ps2/Gm9522/Fbln2/Etl4/Ccr7/Slc16a5/B4galt4/Tcf7/Olfr713/Rhox4f/Aldh1b1/Kit/Irf6/Icam4/Gm48587/Mast1/Cited4/Tbc1d4/Dmrta1/Sell/Tlr2/Izumo1r/Gm5292/Ccdc170/Rxrg/Tgtp1/Ldhb/Epha4/Gm6543/Gm9118/Rflnb/Rps6-ps2/Socs3/Gm8116/Rgs10/Sqor/Gm5100/Gm13831/Trpm1/Ddc/Gm7172/Map7/Gys1/3110082I17Rik/Dgcr6/Tnf/Gm17764/Ninj2/Pecr/Cxcr5/Smyd2/Cmya5/Cux2/Pdk1/Gm20430/Qtrt2/Msl3l2/Socs1/Tsc22d1/Abca3/Dusp6/Rplp0-ps1/Gm4734/Srm/Ighm/Gstm4/Pacsin1/Mgrn1/Smox/Tlr1/Myc/G6pc3/Urb2/Ctsz/Mesp2/Ipo4/Galk1/Frmd4a/Nr2c1/Macrod1/Afp/Jaml/Gm11512/Rpgrip1/Apex1/Dnase2a/Hexa/Cd320/Wdr4/Nop2/St14/Slc19a1/Rcl1/Pebp1/Polr3h/Rpusd2/Bcl2/Gaa/Hspa9/Tec/Rcc1l/C1qbp/Lap3/Nop58/Ddx51/Ppie/Bdh1/Tnfrsf18/St13/Zmym3/Shmt2/Tnfaip8/Vars/Scrn2/Ehd1/Wdr18/Zc3h12d/Cd2ap/Rtn4ip1/Hspbp1/Fam136a/Tmem9/Mybbp1a/Eno3/Mrpl37/Pim2/Tspan13/Faap100/Ppan/Gart/Akr7a5/Ivd/Bloc1s5/Fdxacb1/Lrrc42/Qtrt1/Prmt3/Fam169b/Isoc1/Ogfod2/Phb2/Prmt7/Hspa5/Atad3a/Ptcd3/Hsd17b12/Tspan3/Hmgn1/Wdr77/Dph7/Traf1/Yars2/Rftn1/Tomm40/Cct5/Pgm1/Pycr2/Nsun2/Rmnd5b/Tapbpl/Hsp90ab1/Lca5
Exp391_CD8---Tox_promoted,Exp391_CD8---Tox_promoted,304,0.5878554138409167,1.4254561828786467,9.999000099990002e-5,8.024042950513538e-4,4.453535800285026e-4,9329,"tags=59%, list=31%, signal=41%",Ighv5-4/Aicda/Dapl1/Pdzk1ip1/Tdrp/Dkk3/Bace2/Oaf/Nrn1/Sostdc1/Nsg2/Tnfsf11/Kif13a/Scamp1/Clip3/Cacna1d/Ccr7/Lad1/Aff3/Dntt/Tcf7/Icam5/Tnfsf8/Kit/Eng/Tnfrsf4/Fosl1/Pfpl/Igkv12-89/Dclk1/Id3/Cd83/C3/Adcy6/Lif/Tbc1d4/Sell/Lta/Nlgn2/Trpm6/Mical3/Izumo1r/Cd200/Sestd1/Tacstd2/Plxdc2/Gm11870/Ldha-ps2/Ermap/Irs2/Ccdc122/Rgs10/Plagl1/Bnip3/Igf1r/Wscd1/Acacb/Trpm1/Ccr6/Il1r2/Mpeg1/Ociad2/Gtf2ird1/Iigp1/Sptb/Map7/3110082I17Rik/Dgcr6/Nek4/1700019D03Rik/Armcx4/Angptl2/Epcam/Tox2/Pecr/Ptgfrn/Thnsl1/Cxcr5/Wdfy4/Ighv1-82/Cables1/Cxcl10/Chst15/Cbfa2t3/Il23r/Lyz2/Cxxc5/Prelid2/Tox/Tnfrsf26/Akr1b8/Msl3l2/Afap1/Gm4951/H2-Aa/Abca3/Pkn3/Ahr/Vcan/Gcnt1/H2-Ab1/H2-Oa/Cybb/Adk/Hmgn3/Cd74/Avil/Aldh2/Bcl9/Pdcd1/Sfmbt2/Csf2/Tlr1/C77080/Dctd/Farp2/Itga7/Lhpp/Antxr1/Rsad1/Macrod1/Bach2/Xcl1/Cd40lg/Ier5l/Afp/Kifap3/Lrp12/Igkv12-46/Zcchc3/Fam81a/Pou2af1/Zfp365/P2rx7/Mtss1/Epb41l5/Tnfrsf25/Ighv8-12/Cd22/Hexa/Cd320/Zfp516/Abca1/Kcnq5/Slc4a10/Upb1/Gm5620/Il17rd/Slamf6/Nrp1/Tet1/Gm7609/Maml3/Gca/Ajuba/C530008M17Rik/Ralgps2/Cyp2s1/Zfp939/Ikzf2/Sgms1/Plscr3/Tmem216/Clybl/Ifrd2/Klhl8/Gm4841/Snn/Ankrd29/D630045J12Rik/Ccdc141/Nnt/Arvcf/Tlr7/Plod2/Adora3/Ighd/Hist1h4h/Fam43a
Exp391_CD8---Tim3negBlimp1neg,Exp391_CD8---Tim3negBlimp1neg,158,0.6001917736347486,1.4356809452752222,1.0008006405124099e-4,8.024042950513538e-4,4.453535800285026e-4,10022,"tags=64%, list=33%, signal=43%",Aicda/Dapl1/Pdzk1ip1/Bace2/Il7r/Nrn1/Sostdc1/Nsg2/Tnfsf11/Enpp2/Penk/Cacna1d/Ccr7/Lad1/Aff3/Tcf7/Tnfsf8/Kit/Tnfrsf4/Mx2/Id3/Cd83/Art3/Lif/Tbc1d4/Sell/Lta/Oasl2/Cd200/Plxdc2/Tmprss11e/Tnfsf4/Irs2/Gm14085/Rgs10/Plagl1/Igf1r/Ccr6/Il1r2/1700019D03Rik/Vwa5a/Tnfrsf23/Cxcr5/Cables1/Klf4/Cxcl10/Ltb/Il23r/Tnfrsf26/Grtp1/Abca3/Myo1e/H2-Oa/Adk/Fcrl1/Dthd1/Rsad2/Tlr1/Il18/Itga7/Cd81/Ssbp2/Slc2a6/Bach2/Xcl1/Bphl/Lrig1/Sh3bp5/Btla/Fam81a/Pou6f1/P2rx7/Tmlhe/Tnfrsf25/Cd22/Slamf6/Ighj2/Gpm6b/Bcl2/Ikzf2/Cd9/Kdm4d/Wipf3/Zhx2/Ccdc141/Tlr7/Crtam/Inpp4b/Cd2ap/Camsap2/Evl/Ms4a4c/Sft2d2/Bbs2/Slfn5/Immp2l/Rnf122/St6galnac3/Ephx1/Lrrk2/Spry2
Exp391_CD8---Yao_PRO,Exp391_CD8---Yao_PRO,158,0.6001917736347486,1.4356809452752222,1.0008006405124099e-4,8.024042950513538e-4,4.453535800285026e-4,10022,"tags=64%, list=33%, signal=43%",Aicda/Dapl1/Pdzk1ip1/Bace2/Il7r/Nrn1/Sostdc1/Nsg2/Tnfsf11/Enpp2/Penk/Cacna1d/Ccr7/Lad1/Aff3/Tcf7/Tnfsf8/Kit/Tnfrsf4/Mx2/Id3/Cd83/Art3/Lif/Tbc1d4/Sell/Lta/Oasl2/Cd200/Plxdc2/Tmprss11e/Tnfsf4/Irs2/Gm14085/Rgs10/Plagl1/Igf1r/Ccr6/Il1r2/1700019D03Rik/Vwa5a/Tnfrsf23/Cxcr5/Cables1/Klf4/Cxcl10/Ltb/Il23r/Tnfrsf26/Grtp1/Abca3/Myo1e/H2-Oa/Adk/Fcrl1/Dthd1/Rsad2/Tlr1/Il18/Itga7/Cd81/Ssbp2/Slc2a6/Bach2/Xcl1/Bphl/Lrig1/Sh3bp5/Btla/Fam81a/Pou6f1/P2rx7/Tmlhe/Tnfrsf25/Cd22/Slamf6/Ighj2/Gpm6b/Bcl2/Ikzf2/Cd9/Kdm4d/Wipf3/Zhx2/Ccdc141/Tlr7/Crtam/Inpp4b/Cd2ap/Camsap2/Evl/Ms4a4c/Sft2d2/Bbs2/Slfn5/Immp2l/Rnf122/St6galnac3/Ephx1/Lrrk2/Spry2
Exp391_CD8---Yao_MP,Exp391_CD8---Yao_MP,115,0.6169401445398146,1.4620416682273636,1.0040160642570282e-4,8.024042950513538e-4,4.453535800285026e-4,10435,"tags=80%, list=34%, signal=53%",Dapl1/Il7r/Ccr7/Aff3/Tcf7/Id3/Tbc1d4/Sell/Lta/Treml2/Socs3/Rgs10/Ccr6/Ifitm3/Vwa5a/Cxcr5/F2rl1/Ltb/Lypd6b/Pdk1/Armcx2/Tox/St6gal1/Ptger2/Tsc22d1/Abca3/Ier3/Kbtbd11/Tacc2/Spint2/Fcrl1/Pacsin1/Ctla4/Tlr1/Myc/Axl/Emb/Gpr183/Cd55/Ipo4/Ssbp2/Bach2/Afp/Sh3bp5/Btla/Pou2af1/Pou6f1/Tnfrsf25/Pak6/Slamf6/Nrp1/Cd7/St8sia1/Bcl2/Ptpn3/Taf4b/Sgms1/Socs5/Ddr1/Cd9/Tpd52/Smad1/Mcoln2/Vav3/Filip1l/Hvcn1/Plekha1/Als2cl/Cmpk2/Zc3h12d/Inpp4b/Cd2ap/Elovl6/Pim2/Fchsd2/Slc11a2/Evl/Fam102a/Faah/Pfn2/Fam169b/Ly6e/Traf1/Acpp/Dock9/Lysmd2/Oas3/Rnf144a/Pgs1/Actn1/Parp12/Cpm
Exp391_CD8---MP_up,Exp391_CD8---MP_up,68,0.7474390483515726,1.7254118546389114,1.0212418300653595e-4,8.024042950513538e-4,4.453535800285026e-4,4730,"tags=66%, list=16%, signal=56%",Igkv4-80/Aicda/Igkv4-56/Ighv1-42/Igkv4-61/Igkv3-1/Igkv3-2/Slc4a3/Muc4/Rpl21-ps15/Gm15023/Igkv11-106/Vdr/Igkv2-137/H2-M2/Mpo/Gm7676/Gm5829/Shank2/Cacna1b/Mmp10/Igkv8-24/Rfx4/Hr/Thsd7a/Gm11964/Itgb6/Lmo7/Acaa1b/Ifitm1/Smlr1/Col1a2/Lamc2/Ighv9-3/Tacstd2/Amotl2/Gabbr2/Acacb/Serpine2/Gm4654/Sema5b/Gm9818/Cbfa2t3/Lamb2/2010300C02Rik
Exp391_CD8---Tcf7_promoted,Exp391_CD8---Tcf7_promoted,218,0.5768948884974845,1.3872085260561362,2.0002000200020003e-4,0.0013751375137513752,7.63234218158658e-4,10281,"tags=64%, list=34%, signal=43%",Aicda/Dapl1/Bace2/Map2/Nrn1/Nsg2/Enpp2/Penk/Cacna1d/Ccr7/Aff3/Tcf7/Tnfsf8/Kit/Tnp2/Tnfrsf4/Id3/Art3/Tbc1d4/Hapln1/Sell/Lta/Slc9b2/Cd200/Sestd1/Sccpdh/Car2/Treml2/Plxdc2/Syna/Ociad2/3110082I17Rik/Serpine2/1700019D03Rik/Mid1/Igkv10-96/Vwa5a/Mef2c/Cxcr5/Eml1/Tmem141/Cables1/Smyd2/Ighj1/Cxcl10/Il23r/Prelid2/F8/Tnfrsf26/Tnfrsf9/Abca3/Nkain1/Gcnt1/Myo1e/H2-Oa/Ighm/Adk/Fcrl1/Pacsin1/Wnt1/Dthd1/Ccdc125/Sfmbt2/Tlr1/Emb/Slc15a3/Cd81/Ighg2c/Bach2/Smyd5/Xcl1/Bphl/Lrig1/Tspan6/Btla/Fam81a/P2rx7/Nrgn/Bri3bp/Tmlhe/Tnfrsf25/Cd22/Myb/Ttc27/Rcl1/Slamf6/Ighj2/Maged1/Gpm6b/Kcnmb1/Trav2/Igkj3/Ceacam16/Ikzf2/Ptprs/Clybl/Cd9/Gm4841/Trav12n-1/Tnfrsf22/Cd109/Zhx2/Gzf1/Ccdc141/Marcksl1/Bzw2/Slc12a2/Gstt3/Crtam/Arxes2/Inpp4b/Cd2ap/Trbv20/Camsap2/Fam162a/Elovl6/Eno3/P2rx4/Wdr19/Rnf157/Evl/Ms4a4c/Agpat5/Slc25a13/Fgfr1op/Bbs2/Slfn5/Psmg1/Trip13/Spin4/Ighg2b/Ephx1/Mapk11/Lrrk2/Itm2a/Haus1/Lysmd2/Tespa1/Car12/Mid2
Exp391_CD8---DP_up,Exp391_CD8---DP_up,302,0.5271309328819348,1.2759325128700891,5.999400059994001e-4,0.0036663000366630003,0.0020348842308751582,9329,"tags=41%, list=31%, signal=29%",Igkv19-93/Igkv4-90/Padi4/Igkv9-120/Mmp14/Car1/Ighv6-6/Slfn4/Il1b/Igkv6-23/Gda/Ighe/Igkv8-28/Ngp/Tnfaip2/Lcn2/Hp/S100a9/Ighv1-71/Igkv1-110/Pilrb1/S100a8/Tifa/Retnlg/Fpr2/Csf2rb/Igkv14-126/Clec4a1/Cyp4f18/Igkv4-63/Wfdc21/Hdc/Wfdc17/Bcl11a/Ighj1/Lyz2/Trem3/Alox5ap/Pla2g7/Prg2/Igkv4-57/Mgst1/Mmp8/Hck/H2-Aa/Abcd2/Tyrobp/Dok3/Ptafr/Aldh1a1/Derl3/H2-Ab1/Anxa3/Tifab/Hdac9/Fcrl1/Eaf2/Fcgr4/Bfsp2/Ifi205/Tlr13/Cd74/Clec4a3/Cd33/Cd300c2/Iglv3/Fcgr1/Igkv6-32/Pirb/Rnase6/March1/Ighg2c/Siglecg/H2-Eb1/Adgre4/Iglv1/Ly86/Igkj2/Lmo2/Csf1r/Pou2af1/Gm10031/Cxcl16/Iglc3/Ighv1-66/Grk3/Ighv5-9-1/Slc38a5/Pld4/Mzb1/Fgd2/Sirpb1b/Rasgrp3/Ckap4/Slamf9/Jchain/Pilra/Ifi204/Siglece/Ighj2/Cd79a/Fcer2a/Aif1/Igkv1-135/Ces2g/Ltf/Igkc/Gm15599/Ebf1/Ighv1-34/Iglj3/Agap1/Snn/Kpna2/Ube2c/Tuba1c/Zcchc24/Igkj4/Ighd/Cd93/Igkv16-104/Adgre1/Tnni2/Fam43a
Exp391_CD8---Texint_dn,Exp391_CD8---Texint_dn,129,0.5900460700170314,1.4015194297356086,0.0012033694344163659,0.0064993500649935,0.0036072947729150527,10351,"tags=71%, list=34%, signal=47%",Il7r/Enpp2/Tnfsf8/Sell/Oasl2/Cd200/Tgtp1/Ldhb/Tnfsf4/Socs3/Iigp1/Epcam/Tox2/Cxcr5/Smyd2/Cxcl10/Ltb/Pdk1/Asns/Msl3l2/Socs1/Tnfrsf9/Dusp6/Kbtbd11/Gcnt1/Srm/Spint2/Serpina3g/Ighm/Pacsin1/Mgrn1/Myc/Kcnip3/Emb/Gpr183/Bmyc/Ccdc91/Serpina3f/Mettl1/Slc26a11/Bphl/Afp/Cxcr3/Btla/Pou6f1/Apex1/Myb/Nop2/St14/Ifi204/Slamf6/Cd7/Gnl3/Ppa1/Gaa/Shmt1/Strbp/Grwd1/Hmgb3/Hook1/Lap3/Cd9/Tpd52/Smad1/Spin2c/Adap1/Bzw2/Tnfaip8/Ccdc92/Vars/Crtam/Cmpk2/Syne2/Inpp4b/Fchsd2/Rrp15/Ssx2ip/Rnf157/Ms4a4c/Cd160/Fgfr1op/Slfn5/Tspan3/Ly6e/Ifit3/Rpl12/Traf1/Cd101/Oas3/Ifi44/Actn1
Exp391_CD8---Act48h_up,Exp391_CD8---Act48h_up,590,0.49008214446476023,1.1963393848304844,0.0012998700129987,0.0064993500649935,0.0036072947729150527,12400,"tags=66%, list=41%, signal=40%",Batf3/Nrn1/Zfp608/Tnfsf11/Crabp2/Arhgdig/Ebi3/Gls2/Tnp2/Vldlr/Tnni1/Zfp532/Igfbp7/Arfgef3/Tnfrsf4/Mboat2/Lif/Lta/Nlgn2/Npw/Ccdc116/Tns1/Plk2/Slc9b2/Smim1/Vegfa/Cd200/Il2/Selp/Ccdc122/Bnip3/Prdm5/Hemgn/Dleu7/Gys1/Dgcr6/Armcx4/1110032F04Rik/Slc1a4/Ptgfrn/Maoa/Pdcd1lg2/Rangrf/Tubb6/Smyd2/Dync2li1/Cystm1/P4ha2/Mcrip2/Prelid2/Gm12248/Egfl7/Gpt2/Asns/Dnal1/Eno2/Slc35d3/Srm/Rab33a/Ubtfl1/Acsl6/Tg/Ctla4/Igdcc4/Cd24a/Nefh/Tpi1/Csf2/Dctd/Siglec1/Lypd1/Tctex1d2/Bcat1/Galk1/Mrto4/Ubtd2/Prickle1/Smyd5/Xcl1/Ydjc/Mgarp/Slco4a1/Sox12/Fabp5/Olfr803/Tmem44/Cd300a/Bdh2/Hbegf/Il2ra/Chchd10/Avpi1/Apex1/Hacd1/Gm13260/Epb41l5/Cth/Bpifc/Mgll/Myom2/Mettl7a3/Akap1/Rin1/1810055G02Rik/Olfr796/Aldh1a3/Enah/Pgam1/Lgals7/Nanog/Morn2/Hspe1/Gm15645/Ruvbl2/Synb/Ppef2/Hspa9/Cnn3/Nupr1/Nkrf/Pcx/Sumf2/C1qbp/Vwa7/Nme6/Ppp1r3b/Ccdc63/Atf3/Olfr418/Mif/Parvb/Fgd4/Ak9/Tmem30c/Tc2n/Nop58/Gm9797/Tpd52/Lyar/Capsl/Ocrl/D130007C19Rik/Nt5dc2/Cgn/Rep15/Gm42372/Nop16/Ccdc58/Ndufaf6/Chchd4/D630045J12Rik/Tnfrsf18/Spata7/Teddm1b/Gcat/Rnf207/Atrip/Adora3/Slc12a2/Zfp990/Comt/Gtpbp4/Gcat/Tead2/Medag/Cplane2/Liph/Tmem69/Akr1d1/Olfr655/Gnat1/Timm9/Pramel4/Fam136a/Fam162a/Npm1/Hspd1/Fahd1/Scd1/P2rx4/Msh4/Cep89/Aldoc/Cyp2e1/Zfp410/Wdr75/Furin/Nr4a3/Trpm2/Ppan/Ldha/Rnf157/Spire1/BC028528/Syngr1/Egln3/Dennd5b/H2-Bl/Tcp11l1/Tulp3/Mdm4-ps/Slc25a23/Ero1l/Zfp9/Nudcd2/Slc7a3/Pola1/Slc30a4/Tnks2/Pabpc4/Exd1/Cinp/Gm9894/Grin1/Exosc2/Cxcr2/Zbed5/Poldip2/Pgk1/Hilpda/Morc4/Trib3/Efcc1/Tfpi/Gpn1/Psat1/Eprs/Ahcy/Olfr889/Olfr847/Nip7/Arhgap39/Arcn1/Tapbpl/Kat8/Nolc1/Wdr89/Abcd3/B9d1/Mmab/Gm10499/Dnajc14/B230118H07Rik/Dnajb14/Omd/Irf4/Snf8/Gm20768/Timm8a1/Reep1/Casc4/P3h3/Gm48789/Wdr34/Ift57/Bicd1/Zmynd19/Lhfpl4/Hnrnpa1/Kdm5a/Fdps/Olfr370/Rps12-ps3/1190007I07Rik/Lrp5/Elp6/Samd15/Gm15950/Tbc1d19/Atp1a2/Sgpl1/Arhgef40/Wdr66/Cfap54/Cct3/Larp1b/Mfhas1/Ciart/Klhdc8b/Ero1lb/Ncl/Dusp16/Scd2/Unc13d/Set/Chrna1/Plekha3/Gm11444/Tln2/Nav1/Olfr1167/Olfr1388/Josd1/Gm21778/Gm29761/Pcsk2/Spata24/Brms1l/Loxl2/Garnl3/Noa1/Morf4l2/Arl5c/Pdzd2/9430015G10Rik/Timm10/Rcc2/Vamp3/Zfp940/Chpt1/Arfgef1/Tfrc/Fgfr1/Cdkn1a/Wdr60/Rsl1d1/Nmrk1/Pus7/Nutf2/Hk2/Ccdc62/Snrpf/Rmi2/Neu3/Uchl5/Washc4/Parp1/Tango2/Rtn2/Zfp870/Gapdh/Nol4l/Gm13092/Arl14ep/Eif2s2/Cul7/Olfr71/Ptcra/Phkg1/Naip5/Lonp1/Gga3/Sag/Hdac1/Rps26-ps1/Impdh2/Map4/Ggnbp1/Ldlr/Lrrc17/Atp6v0e2/Arl2/Zfp626/Arhgef9/Naf1/Gcn1l1/Cfap45/Dyrk3/Olfr1423/Sec24a/Sdf4/Cars/Intu/Pih1d2/Zfp11/Pola2/Slc7a14/Hax1/Gpalpp1/Eif4ebp1/Cep170/Eif3b/Eef1e1/Ripply3/Ipo5/Bend3/Retn/Gm14494/Nampt/Gspt1/Xpnpep2/Mettl3/Tnni3/Knop1/Tarsl2/Pigl/Gmeb1/Btg3/Etf1/Hook2/Ggnbp1
Exp391_CD8---best_cluster_6,Exp391_CD8---best_cluster_6,49,-0.7313985780299961,-2.4120823812907393,0.002386634844868735,0.010186442770712434,0.005653719432548527,4946,"tags=65%, list=16%, signal=55%",Ccr2/Id2/Car5b/Myo1f/Itga4/Pik3ap1/Lgals1/Klrk1/Ccr5/Casp1/Plek/Sytl2/Klrc2/Klrc3/Klrc1/Osbpl3/Fasl/Gzmk/Itgax/Smpdl3b/Dock5/Dapk2/Itgam/Klra10/Il18rap/Klrb1c/Ccl5/Gzma/Zeb2/Cx3cr1/S1pr5/Klrg1
